年份,省份,固定电话用户_万户,固定电话用户_比上年增减_万户,移动电话用户_万户,移动电话用户_比上年增减_万户,3G移动电话用户_万户,3G移动电话用户_占比_%,4G移动电话用户_万户,4G移动电话用户_比上年增减_万户,4G移动电话用户_占比_%,5G移动电话用户_万户,5G移动电话用户_占比_%,移动互联网用户_万户,移动互联网用户_比上年增减_万户,互联网宽带接入用户_万户,互联网宽带接入用户_比上年增减_万户,FTTH_O用户_万户,FTTH_O用户_比上年增减_万户,100M_1000M用户_万户,100M_1000M用户_比上年增减_万户,1000M及以上用户_万户,1000M及以上用户_比上年增减_万户,城市宽带接入用户_万户,农村宽带接入用户_万户,互联网电视用户_万户,互联网电视用户_比上年增减_万户,电信业务总量_上年不变单价_亿元,电信业务总量同比_%,固定电话主叫通话时长_万分钟,固定电话主叫通话时长同比_%,其中_国际及港澳台通话时长_万分钟,移动电话通话时长_万分钟,通话时长同比_%,去话通话时长_万分钟,去话同比_%,来话通话时长_万分钟,来话同比_%,移动互联网流量_万GB,流量同比增长率_%,短信业务量_万条,点对点短信_万条,彩信业务量_万条,固话互联互通时长_万分钟,固话互联互通同比_%,移动互联互通时长_万分钟,移动互联互通同比_%,短信互联互通_万条,短信互联互通同比_%,光缆线路长度_公里,长途光缆长度_公里,移动电话交换机容量_万户,移动电话基站_万个,3G基站_万个,4G基站_万个,5G基站_万个,互联网宽带接入端口_万个,FTTH_O端口_万个,互联网省际出口带宽_Mbps,省际出口带宽同比增减_Mbps,电信业务收入_万元,电信业务成本_万元,电信利润总额_万元,资产总额_万元,固定资产原值_万元,全部从业人员期末人数_人,电信固定资产投资_万元,固定电话普及率_部每百人,移动电话普及率_部每百人,互联网宽带接入普及率_%,城市互联网宽带接入普及率_%,农村互联网宽带接入普及率_%,家庭互联网宽带接入普及率_%
2020,北京,480.6,-62.5,3906.4,-113.4,62.3,1.6,3159.7,-131.9,80.9,,,3272.9,-16.4,747.3,59.2,719.4,57.4,653.7,46.8,23.1,15,652.9,94.4,326.6,15.3,476.8,13,536330.7,-21.7,2389.6,9580053.6,-11.5,5118773.4,-12.2,4461280.2,-10.6,383027.4,29.8,10042435.7,235279.4,378229.4,301626,-11.2,2024866.8,-10.3,76228.7,-33.3,440119,4160,9340,24.6,3.8,13.4,0,2084.1,1945.8,26782500,17600000,6371244.8,4090535.1,1558246.3,13408791.2,17973828,22600,1366492.4,22,178.4,34.1,34.1,34.6,82.2
2020,天津,325.8,-23.3,1711,6.3,35.8,2.1,1425.2,16.1,83.3,,,1488.8,38.1,534.6,11,516.1,40.6,509.5,32,3.7,3,481.8,52.8,344.5,33,168.4,21.5,139666.4,-5.8,231.9,5144749.9,-4.2,2627137.3,-3.7,2517612.5,-4.8,189491.2,39,1489091.5,113457.9,83976,79703.3,-9.9,1077135.2,-5.2,22863.1,-46.5,376892,4585,3036,11.4,1.5,6.6,0,1254.6,1172.7,26700000,30350000,1441560.8,1211344.7,7218.9,3187509.9,5629905.6,12343,500312.5,23.5,123.4,38.6,41,24.9,99.8
2020,河北,652.1,-53.1,8336,20.4,123.3,1.5,6740.9,144.3,80.9,,,7104,188.8,2534.4,174.7,2362.9,120,2205.1,237.3,10.2,8.5,1495.4,1038.9,1680.1,36.8,636.5,18.4,571848.2,-24.7,51.1,19720126.3,-8,9643327.7,-7.7,10076798.7,-8.2,721397.2,31.7,8693745.8,238802.9,72017.1,360142.6,-19.6,3864986.9,-6.9,93302.3,-8.8,2230110,37419,15592.5,42.8,3.5,27.2,0,4598.2,4435.8,40480000,10100000,4824222.2,3462214.1,399069.8,9703499.4,15907436.1,40926,1382945.9,8.7,111.7,34,33.4,34.9,89.7
2020,上海,636.5,-6.9,4277.6,269.7,176.3,4.1,3246.2,-353.5,75.9,,,3365.7,168.3,919,28.8,862,37,717.2,8.3,47.3,22.6,916.2,2.7,565,4.4,472.6,14.7,842926.1,-2.7,4872.6,8417763.4,-5.2,4343541.7,-5.4,4074221.7,-4.9,309548.1,33.8,8403913.4,216832.5,158800.3,336763.3,0.8,1756510.7,-5.6,102979.6,4.5,697997,5034,6464,17.8,2.3,9.5,0,2322,2037.3,29500000,2160000,5961369,3857423.9,980224.5,15408286.9,16596749.4,20198,1209359.9,25.6,172,36.9,36.8,0,84.2
2020,江苏,1265.3,-63.8,9897.1,-268.9,118.8,1.2,8046.3,-343.3,81.3,,,8428.7,-23.9,3756.8,171.1,3462.6,159.7,3181.6,77.2,117,114.4,2340.4,1416.4,2285.2,93.3,1074.5,14.8,727329.6,-24.3,1216.4,27085568,-5.8,13401508.7,-6.1,13684059.4,-5.5,1090420.1,27.9,11328766.1,345534,352706.9,324148,-29.9,4468441.9,-5.4,201466.4,-17.1,3990069,40429,22838.1,61.6,4,38.9,0,7224.9,6463.3,68680000,14540000,10257265.8,6366959.9,2018212.3,21240648.1,25036302,49693,2761103.1,14.9,116.8,44.3,37.6,62.9,107.6
2020,浙江,1264.8,-45,8585.2,-151.2,102.4,1.2,6876.7,-36,80.1,,,7041.1,-5.9,2938.8,159.9,2692.9,186.8,2575,181.1,55.7,41.5,2046.1,892.7,1550.3,21.7,949.8,19.6,601355.1,-20.8,592.9,24191994,-5.3,12065583.6,-5.8,12126410.4,-4.8,1011058.1,32.7,10105583.3,336693.5,377593.6,364827.9,-14,3055282.9,-6.3,202038.1,19.7,3497879,27024,15414.3,59.7,5,36,0,6031.5,5350.5,17359127,2720000,8537701.5,5615774.3,1665003.5,20251552.2,22444847.7,41301,2448487,19.6,133,45.5,43.9,49.7,94.6
2020,福建,733.1,-30.6,4739.3,19,83.4,1.8,3900.9,22.3,82.3,,,3979.6,63.8,1831,52,1689.5,55.8,1572.4,83.2,2.1,1.8,1253.5,577.6,1115,20.7,479.1,15.7,344166.8,-19.9,953.9,14745551.5,-5.9,7327988,-6.3,7417563.4,-5.4,459695,29.1,11382258.2,237605.2,130474,183530.5,-15.5,2650862.5,-5.8,179783.6,44.7,1548884,25010,8861.6,32.3,3.7,20.5,0,3370,3110.4,33900000,4460000,4488144.7,3008193.7,760418.5,9871096.5,13950037,27827,1225702.2,17.6,114.1,44.1,43.9,44.5,111.1
2020,山东,1125.2,-60,10907.1,121.6,316.8,2.9,8450.1,337.4,77.5,,,8761.3,-93.8,3445.6,259.5,3202.8,302.4,3181.8,293.8,2.3,2.2,2374.7,1070.9,2262.9,101.1,853.4,21.1,729019.7,-9.9,440.9,36772823.4,-1.4,18256672.8,-1.6,18516150.6,-1.2,857508.8,32.5,17813528.1,344638.7,209703.3,422123.3,-7.3,6180518.1,6.7,120285.3,-27.1,2630547,39375,13193.4,58,6.9,33.1,0,6756.8,6323,52685200,2661600,6970731.8,4600849.8,1169772.4,13051753.6,20603248.9,50415,2067762.3,11.1,107.4,33.9,37.1,28.5,87.9
2020,广东,2131.9,-171.4,15536.9,-996.1,250.6,1.6,13724,-583.9,88.3,,,14251.4,51.1,3890,88.4,3587.3,96.8,3410.1,223.7,37.7,28.7,2873,1017,2408.7,249,1711.7,19.5,1431720,3.2,7149.3,41031439.7,-9.6,20853929.1,-9.9,20177510.6,-9.4,1840549.2,33.4,15571625.9,564496.1,232724.1,835199.1,-3.7,5591839.2,-8.9,293819.9,-6.1,3223399,57751,23803.8,83.8,5.3,50.5,0,8653.2,7951.9,55340000,1800000,17218241.5,10706987,4740520,49485259.2,43894139.1,84943,4176390.2,16.9,123.3,30.9,30.7,31.2,76.7
2020,海南,166.4,-4.7,1135.2,-0.4,13,1.1,917.4,-7.1,80.8,,,964,32.5,351.5,28.3,341.4,42,311.6,53.8,1.3,1.3,240.3,111.2,220.6,15.6,117.1,21.7,45364.2,-31.4,113.2,3533017.9,-8.7,2092153.8,-7.7,1440864.1,-10.2,137800.8,37.2,1325530.4,258726.9,25524.4,30608.5,-18.1,601852.1,-5.4,92104.5,97.2,322957,3175,2559,8.2,0.9,4.9,0,852.3,807.8,9087520,1080480,1072092.5,773866.7,128717,2022893,3077198.1,6844,323306.8,16.5,112.6,34.9,39.5,27.8,102.9
2020,山西,244.4,-21.8,4022.8,35.6,72.1,1.8,3318,115.7,82.5,,,3266.3,124,1252.1,126,1226.4,129,1172.4,135,2,1.9,1018.5,233.6,662.4,4.1,318.3,18.6,106554.8,-12.9,8.9,12476480.7,-3.5,6187746.5,-4,6287343.4,-3,365455.1,35.8,4313692.7,223559.1,196764.9,90023.3,-9.2,2062958.2,-5.2,51015.1,-18.7,1319319,32154,7699.2,26,3.4,15.9,0,2322.3,2252.7,24400000,5670000,2510407.2,1976882.7,55536.1,5270570.9,9674742,27698,917754.6,7,115.2,35.9,46.7,17.9,86.7
2020,安徽,559.5,-11.3,6025.6,181.4,101.1,1.7,4752.2,245.9,78.9,,,5010.5,219.6,2093,228.3,1948.7,238.9,1828.4,191.1,0.6,0.5,1290.9,802.1,1584.5,203.6,536,19.6,328400.4,-10.9,98,14333744.8,-4.8,6920611,-4.6,7413133.8,-5.1,614702.3,33,7128385.8,245399.8,36755.2,145933.6,-8.4,2633299.3,-5.1,96198.7,-21.6,2371261,35551,8224.3,31,4.1,19.5,0,3543.7,3394.4,33844400,19467856,4210522,2731915.5,694162.7,8234716.9,11103541.5,30926,1206991.9,9.2,98.7,34.3,36.3,31.5,77
2020,江西,482.4,24.9,4249.4,92.3,51,1.2,3300.6,32.6,77.7,,,3599.3,92.8,1510.5,61.7,1449.1,100.4,1366.4,113.5,13.6,13.6,992,518.5,1115.6,60.7,376.9,17.8,181441,-22.5,37.8,11183403.9,-6.9,5484723.1,-6.6,5698680.8,-7.2,429567.4,31.7,2695176.3,187549.7,479606.7,104077.9,-13.9,1547322,-8.4,51280.4,-27.4,2146725,33442,7285.9,26.2,2.6,16.1,0,2532.9,2409.4,11990000,2187500,3082391.5,2025018.3,413726.7,5747799.5,7959799.9,24151,960145.6,10.7,94,33.4,36.3,29,91
2020,河南,667.2,-90.6,10051.4,210.3,253.6,2.5,8282.1,214.7,82.4,,,8748.7,503,3090.9,321.7,2985,373.8,3038.2,545.2,24.1,23.9,2189.2,901.7,1868,92.8,824.2,23.6,351799.2,-19,87.4,28097853.4,-5.2,13696214.9,-4.8,14401638.6,-5.6,946343.4,38,9956116,501116.3,123021.9,316587.4,-19.3,5326299.6,-4.5,187723.6,15.4,1764805,35898,14094.2,49.4,7,32.2,0,4934.5,4840.2,27050000,-12230000,6766568.8,4484967,1148830.7,12194850.9,17702077.6,46253,2019628.9,6.7,101.2,31.1,39.7,20.4,86.2
2020,湖北,481.6,-37.3,5681.1,-7,101.7,1.8,4615.4,120,81.2,,,4789.7,154.1,1870.2,161.8,1781.3,158.4,1615.9,234.8,8.1,7.6,1299.9,570.3,1216.2,105.3,464.1,15.7,233313.9,-38.3,72.8,14660472.9,-7.9,7152570.9,-8,7507902,-7.8,506671.9,32.4,4487369.6,245450.4,269022.9,203330.9,-6.2,2901868.9,-5.7,74580.7,-47.5,1980710,32139,8592.3,32.5,4.1,20.2,0,3221.4,2903,28230000,7236200,4521127.2,2948388.3,791021,8930061.2,13032670,35582,1217988.4,8.3,98.4,32.4,35.8,26.6,78.6
2020,湖南,592.4,-30.7,6719.4,71.3,99.4,1.5,5417.2,140.5,80.6,,,5771.2,281.5,2113.2,239.4,1953,239.9,1760.5,278.3,7.9,7.6,1411.5,701.6,1444.1,142.6,569,22.4,503046.8,10.7,60.9,19628166.2,-2.1,9641435.2,-1.5,9986730.9,-2.7,708985.8,44.3,5318410.7,302840.8,218281,188999.1,0.8,3736307.4,-1,141195.2,4.1,2143014,42650,10695,36.6,4.6,23.6,0,3242.4,3051,9200000,-6060000,4713176.5,3055413,626830.1,8359989.7,12037343.6,35611,1372340.2,8.9,101.1,31.8,36.2,25.6,81.2
